Time,PPG,ECG,resp
0,0.410557185,0.314453125,0.717097171
0.008,0.400782014,0.28515625,0.720787208
0.016,0.391006843,0.30078125,0.723247232
0.024,0.382209189,0.3046875,0.726937269
0.032,0.372434018,0.294921875,0.730627306
0.04,0.363636364,0.294921875,0.733087331
0.048,0.355816227,0.294921875,0.736777368
0.056,0.348973607,0.30078125,0.740467405
0.064,0.344086022,0.30078125,0.744157442
0.072,0.339198436,0.3046875,0.746617466
0.08,0.335288368,0.30078125,0.749077491
0.088,0.330400782,0.3046875,0.751537515
0.096,0.325513196,0.310546875,0.75399754
0.104,0.320625611,0.310546875,0.755227552
0.112,0.316715543,0.314453125,0.756457565
0.12,0.311827957,0.32421875,0.758917589
0.128,0.307917889,0.32421875,0.760147601
0.136,0.30400782,0.32421875,0.761377614
0.144,0.301075269,0.32421875,0.762607626
0.152,0.298142717,0.3359375,0.763837638
0.16,0.296187683,0.3359375,0.765067651
0.168,0.295210166,0.3359375,0.766297663
0.176,0.293255132,0.3359375,0.767527675
0.184,0.291300098,0.345703125,0.767527675
0.192,0.289345064,0.35546875,0.768757688
0.2,0.285434995,0.35546875,0.768757688
0.208,0.282502444,0.359375,0.768757688
0.216,0.279569892,0.365234375,0.7699877
0.224,0.277614858,0.375,0.7699877
0.232,0.275659824,0.380859375,0.771217712
0.24,0.27370479,0.380859375,0.771217712
0.248,0.271749756,0.390625,0.771217712
0.256,0.270772239,0.404296875,0.771217712
0.264,0.269794721,0.41015625,0.771217712
0.272,0.269794721,0.416015625,0.768757688
0.28,0.268817204,0.42578125,0.767527675
0.288,0.267839687,0.435546875,0.765067651
0.296,0.26686217,0.44921875,0.762607626
0.304,0.265884653,0.4609375,0.760147601
0.312,0.263929619,0.470703125,0.756457565
0.32,0.262952102,0.48046875,0.75399754
0.328,0.260997067,0.484375,0.750307503
0.336,0.260997067,0.48046875,0.746617466
0.344,0.26001955,0.474609375,0.741697417
0.352,0.26001955,0.44921875,0.736777368
0.36,0.260997067,0.42578125,0.730627306
0.368,0.261974585,0.400390625,0.723247232
0.376,0.261974585,0.37109375,0.717097171
0.384,0.261974585,0.3359375,0.708487085
0.392,0.262952102,0.314453125,0.699876999
0.4,0.261974585,0.30078125,0.692496925
0.408,0.261974585,0.28515625,0.685116851
0.416,0.261974585,0.279296875,0.67896679
0.424,0.260997067,0.275390625,0.671586716
0.432,0.260997067,0.275390625,0.664206642
0.44,0.260997067,0.275390625,0.656826568
0.448,0.26001955,0.275390625,0.649446494
0.456,0.26001955,0.275390625,0.640836408
0.464,0.260997067,0.279296875,0.633456335
0.472,0.260997067,0.28515625,0.626076261
0.48,0.263929619,0.279296875,0.618696187
0.488,0.269794721,0.28515625,0.611316113
0.496,0.28054741,0.28515625,0.603936039
0.504,0.2971652,0.28515625,0.596555966
0.512,0.321603128,0.28515625,0.587945879
0.52,0.353861193,0.28515625,0.580565806
