Time,PPG,ECG,resp
0,0.704789834,0.01372549,0.424354244
0.008,0.703812317,0.074509804,0.423124231
0.016,0.699902248,0.223529412,0.421894219
0.024,0.693059629,0.349019608,0.420664207
0.032,0.684261975,0.370588235,0.420664207
0.04,0.672531769,-0.211764706,0.420664207
0.048,0.65884653,-0.47254902,0.419434194
0.056,0.64516129,-0.398039216,0.419434194
0.064,0.630498534,-0.217647059,0.419434194
0.072,0.61485826,-0.150980392,0.418204182
0.08,0.597262952,-0.137254902,0.41697417
0.088,0.578690127,-0.131372549,0.415744157
0.096,0.560117302,-0.141176471,0.413284133
0.104,0.541544477,-0.131372549,0.410824108
0.112,0.522971652,-0.141176471,0.408364084
0.12,0.505376344,-0.131372549,0.405904059
0.128,0.488758553,-0.141176471,0.402214022
0.136,0.472140762,-0.131372549,0.399753998
0.144,0.457478006,-0.141176471,0.398523985
0.152,0.442815249,-0.131372549,0.396063961
0.16,0.432062561,-0.141176471,0.393603936
0.168,0.42228739,-0.131372549,0.392373924
0.176,0.411534702,-0.141176471,0.389913899
0.184,0.401759531,-0.131372549,0.388683887
0.192,0.39198436,-0.141176471,0.386223862
0.2,0.384164223,-0.121568627,0.383763838
0.208,0.375366569,-0.131372549,0.381303813
0.216,0.368523949,-0.111764706,0.378843788
0.224,0.360703812,-0.105882353,0.376383764
0.232,0.35483871,-0.076470588,0.373923739
0.24,0.34799609,-0.056862745,0.370233702
0.248,0.342130987,-0.015686275,0.367773678
0.256,0.337243402,0.007843137,0.364083641
0.264,0.333333333,0.049019608,0.360393604
0.272,0.330400782,0.074509804,0.357933579
0.28,0.326490714,0.11372549,0.355473555
0.288,0.322580645,0.139215686,0.35301353
0.296,0.318670577,0.158823529,0.350553506
0.304,0.314760508,0.174509804,0.348093481
0.312,0.311827957,0.164705882,0.345633456
0.32,0.307917889,0.149019608,0.343173432
0.328,0.30400782,0.133333333,0.340713407
0.336,0.301075269,0.109803922,0.338253383
0.344,0.298142717,0.094117647,0.33702337
0.352,0.296187683,0.084313725,0.334563346
0.36,0.294232649,0.068627451,0.333333333
0.368,0.293255132,0.074509804,0.332103321
0.376,0.292277615,0.049019608,0.330873309
0.384,0.292277615,0.058823529,0.329643296
0.392,0.291300098,0.049019608,0.328413284
0.4,0.291300098,0.068627451,0.328413284
0.408,0.291300098,0.062745098,0.327183272
0.416,0.291300098,0.074509804,0.32595326
0.424,0.292277615,0.068627451,0.32595326
0.432,0.293255132,0.078431373,0.32595326
0.44,0.295210166,0.068627451,0.32595326
0.448,0.298142717,0.078431373,0.32595326
0.456,0.303030303,0.062745098,0.32595326
0.464,0.31085044,0.068627451,0.32595326
0.472,0.321603128,0.052941176,0.32595326
0.48,0.335288368,0.043137255,0.324723247
0.488,0.355816227,0.039215686,0.324723247
0.496,0.384164223,0.033333333,0.322263223
0.504,0.418377322,0.043137255,0.32103321
0.512,0.457478006,0.029411765,0.319803198
0.52,0.500488759,0.039215686,0.317343173
0.528,0.544477028,0.023529412,0.314883149
0.536,0.587487781,0.01372549,0.311193112
0.544,0.627565982,-0.001960784,0.307503075
0.552,0.664711632,0.01372549,0.303813038
0.56,0.697947214,-0.001960784,0.298892989
0.568,0.72629521,0.01372549,0.295202952
0.576,0.745845552,-0.001960784,0.290282903
0.584,0.760508309,0.003921569,0.285362854
0.592,0.772238514,-0.001960784,0.280442804
0.6,0.782013685,0.003921569,0.276752768
0.608,0.778103617,-0.001960784,0.271832718
0.616,0.764418377,0.029411765,0.266912669
0.624,0.75659824,0.094117647,0.26199262
0.632,0.750733138,0.249019608,0.257072571
0.64,0.743890518,0.374509804,0.252152522
0.648,0.737047898,0.384313725,0.247232472
0.656,0.727272727,-0.237254902,0.243542435
0.664,0.716520039,-0.468627451,0.239852399
0.672,0.703812317,-0.352941176,0.237392374
0.68,0.690127077,-0.182352941,0.233702337
0.688,0.676441838,-0.12745098,0.232472325
0.696,0.661779081,-0.121568627,0.2300123
0.704,0.64516129,-0.111764706,0.2300123
0.712,0.627565982,-0.121568627,0.228782288
0.72,0.608993157,-0.105882353,0.228782288
0.728,0.591397849,-0.117647059,0.227552276
0.736,0.573802542,-0.101960784,0.227552276
0.744,0.556207234,-0.121568627,0.226322263
0.752,0.539589443,-0.105882353,0.226322263
0.76,0.522971652,-0.117647059,0.226322263
0.768,0.508308895,-0.105882353,0.226322263
0.776,0.493646139,-0.121568627,0.225092251
